nconst,primaryName
nm0001526,Patrick McGoohan
nm0001528,Don McKellar
nm0001530,William McNamara
nm0001533,Meat Loaf
nm0001535,Dale Midkiff
nm0001536,Toshirô Mifune
nm0001537,Ray Milland
nm0001538,Jonny Lee Miller
nm0001542,Jay Mohr
nm0001544,Ricardo Montalban
nm0001545,Dudley Moore
nm0001548,Rick Moranis
nm0001552,Pat Morita
nm0001554,Errol Morris
nm0001555,Rob Morrow
nm0001556,David Morse
nm0001557,Viggo Mortensen
nm0001558,Mr. T
nm0001561,Jim Nabors
nm0001569,Chuck Norris
nm0001570,Edward Norton
nm0001572,Danny Nucci
nm0001574,Michael O'Keefe
nm0001579,Edward James Olmos
nm0001583,Jerry Orbach
nm0001588,Jack Palance
nm0001589,Michael Palin
nm0001590,Chazz Palminteri
nm0001592,Joe Pantoliano
nm0001595,Michael Paré
nm0001596,Pier Paolo Pasolini
nm0001597,Mandy Patinkin
nm0001598,Robert Patrick
nm0001599,Will Patton
nm0001600,Adrian Paul
nm0001601,David Paymer
nm0001602,Guy Pearce
nm0001606,Chris Penn
nm0001608,Barry Pepper
nm0001611,Max Perlich
nm0001612,Matthew Perry
nm0001616,Mekhi Phifer
nm0001617,Lou Diamond Phillips
nm0001618,Joaquin Phoenix
nm0001620,Slim Pickens
nm0001621,Bronson Pinchot
nm0001622,Danny Pintauro
nm0001624,Oliver Platt
nm0001626,Christopher Plummer
nm0001627,Sidney Poitier
nm0001628,Sydney Pollack
nm0001629,Kevin Pollak
nm0001635,William Powell
nm0001637,Vincent Price
nm0001638,Jürgen Prochnow
nm0001640,Richard Pryor
nm0001641,Vincent Perez
nm0001642,Randy Quaid
nm0001644,Aidan Quinn
nm0001646,Ted Raimi
nm0001647,Claude Rains
nm0001650,Michael Rapaport
nm0001651,Basil Rathbone
nm0001652,John Ratzenberger
nm0001653,Stephen Rea
nm0001654,Ronald Reagan
nm0001657,Oliver Reed
nm0001659,Christopher Reeve
nm0001660,George Reeves
nm0001661,Rob Reiner
nm0001662,Judge Reinhold
nm0001663,Paul Reiser
nm0001664,James Remar
nm0001667,Jonathan Rhys Meyers
nm0001673,Jason Robards
nm0001674,Chris Rock
nm0001679,Mark Rolston
nm0001680,Robert Romanus
nm0001681,George A. Romero
nm0001682,Mickey Rooney
nm0001685,Rick Rossovich
nm0001688,Alan Ruck
nm0001691,Geoffrey Rush
nm0001692,Ken Russell
nm0001695,George Sanders
nm0001696,Julian Sands
nm0001697,Chris Sarandon
nm0001698,John Savage
nm0001699,Telly Savalas
nm0001701,Devon Sawa
nm0001702,Roy Scheider
nm0001703,Maximilian Schell
nm0001704,Vincent Schiavelli
nm0001705,Rob Schneider
nm0001706,Michael Schoeffling
nm0001709,Til Schweiger
nm0001710,David Schwimmer
nm0001714,Campbell Scott
nm0001715,George C. Scott
nm0001717,Kyle Secor
nm0001719,George Segal
nm0001720,Ivan Sergei
nm0001722,Rufus Sewell
nm0001724,Tony Shalhoub
nm0001725,Omar Sharif
nm0001727,Robert Shaw
