tconst,nconst,character
tt0028096,nm0010333,Lineman
tt0028212,nm0393028,Karl Verloc--Her Husband
tt0028212,nm0856469,Stevie
tt0028212,nm0517058,Detective Sgt. Ted Spencer
tt0028212,nm0099608,Superintendent Talbot
tt0028212,nm0912343,Hollingshead
tt0028212,nm0223168,The Professor
tt0028212,nm0119988,Michaelis - Conspirator
tt0028333,nm0000001,Lucky Garnett
tt0028333,nm0602005,Pop Cardetti
tt0028333,nm0089314,Gordon
tt0028333,nm0582386,Ricky Romero
tt0028333,nm0047534,Roulette Player
tt0028333,nm0076236,Second Stagehand
tt0028333,nm4185833,Nightclub Patron
tt0028346,nm0185924,Bill
tt0028346,nm0639495,Ralph
tt0028346,nm0949355,Jack
tt0028346,nm0566153,Jimmy
tt0028346,nm0287162,Dr. Carroll
tt0028346,nm0367405,Junior
tt0028597,nm0000026,Jerry Warriner
tt0028597,nm0000897,Daniel Leeson
tt0028597,nm0195422,Armand Duvalle
tt0028597,nm0020979,Frank Randall
tt0028597,nm0913094,Mr. Vance
tt0028691,nm0000075,Manuel
tt0028691,nm0000861,Harvey
tt0028691,nm0000859,Disko
tt0028691,nm0002048,Mr. Cheyne
tt0028691,nm0335788,Uncle Salters
tt0028691,nm0001682,Dan
tt0028691,nm0001017,'Long Jack'
tt0028691,nm0642679,Cushman
tt0028691,nm0479011,Priest
tt0028691,nm0455491,Dr. Finley
tt0028772,nm0000050,Dr. Hugo Z. Hackenbush
tt0028772,nm0555597,Tony
tt0028772,nm0555617,Stuffy
tt0028772,nm0427452,Gil Stewart
tt0028772,nm0147847,Whitmore
tt0028772,nm0241523,Morgan
tt0028772,nm0750079,Dr. Steinberg
tt0028950,nm0300064,Le lieutenant Maréchal
tt0028950,nm0294382,Le captaine de Boeldieu
tt0028950,nm0002233,Le captaine von Rauffenstein
tt0028950,nm0136853,Cartier - l'acteur
tt0028950,nm0701776,Le serrurier
tt0028950,nm0283014,Le sergent Arthur
tt0028950,nm0202120,L'instituteur
tt0028950,nm0411664,Le lieutenant Demolder
tt0028950,nm0595321,L'ingénieur
tt0029162,nm0172903,Robert Conway
tt0029162,nm0002143,Lovett
tt0029162,nm0397397,George Conway
tt0029162,nm0593775,Barnard
tt0029162,nm0912478,Chang
tt0029162,nm0415488,High Lama
tt0029162,nm0014710,Embassy Club Steward
tt0029284,nm0000026,Nick Arden
tt0029284,nm0000068,Stephen Burkett
tt0029284,nm0065717,Tim Arden
tt0029284,nm0531385,Yosemite Hotel Clerk
tt0029284,nm0640078,Johnson - Insurance Adjuster
tt0029284,nm0060912,Judge Bryson
tt0029583,nm0830968,Prince
tt0029583,nm0830968,Prince
tt0029583,nm0041165,Doc
tt0029583,nm0041165,Doc
tt0029583,nm0118081,Huntsman
tt0029583,nm0118081,Huntsman
tt0029583,nm0172287,Dopey
tt0029583,nm0172287,Dopey
tt0029583,nm0172287,Chipmunk and Squirrel Sneezes
tt0029583,nm0172287,Chipmunk and Squirrel Sneezes
tt0029583,nm0173416,Sleepy
tt0029583,nm0173416,Sleepy
tt0029583,nm0173416,Grumpy
tt0029583,nm0173416,Grumpy
tt0029583,nm0173416,Dopey (hiccups)
tt0029583,nm0173416,Dopey (hiccups)
tt0029583,nm0317970,Sneezy
tt0029583,nm0317970,Sneezy
tt0029583,nm0363227,Happy
tt0029583,nm0363227,Happy
tt0029606,nm0545298,Norman Maine
tt0029606,nm0579663,Oliver Niles
tt0029606,nm0222596,Danny McGuire
tt0029606,nm0822034,Matt Libby
tt0029606,nm0601698,Casey Burke - Director
tt0029606,nm0448012,Pop Randall - Landlord
tt0029811,nm0210116,Robert Tisdall
tt0029811,nm0549385,Col. Burgoyne
tt0029811,nm0726585,Old Will
tt0029811,nm0519274,Det. Insp. Kent
tt0029811,nm0193633,Guy
tt0029811,nm0705509,Erica's Uncle
tt0029811,nm0581416,Det. Sgt. Miller
tt0029843,nm0001224,Robin Hood
tt0029843,nm0001651,Sir Guy of Gisbourne
tt0029843,nm0001647,Prince John
tt0029843,nm0461549,Will Scarlett
tt0029843,nm0657874,Friar Tuck
tt0029843,nm0002118,Little John
tt0029843,nm0178259,High Sheriff of Nottingham
tt0029843,nm0402842,King Richard the Lion-Heart
tt0029850,nm0003540,Aleksandr Nevsky
tt0029850,nm0645613,Vasili Buslai
tt0029850,nm0009372,Gavrilo Oleksich
tt0029850,nm0650115,Ignat - the Master Armorer
tt0029850,nm0637133,Pavsha - Governor of Pskov
tt0029850,nm1101378,Domash Tverdislavich - a Novgorod Boyar
tt0029850,nm0947675,Von Balk - Grand Master of the Teutonic Order
tt0029870,nm0000010,Rocky Sullivan
tt0029870,nm0002285,Jerry Connolly
tt0029870,nm0000007,James Frazier
tt0029870,nm0051628,Mac Keefer
tt0029870,nm0356890,Soapy
