tconst,nconst,characterName
tt0023969,nm0555617,Pinky
tt0023969,nm0555597,Chicolini
tt0023969,nm0555688,Bob Roland
tt0023969,nm2580347,\N
tt0023969,nm0241669,Gloria Teasdale
tt0023969,nm0868799,Vera Marcal
tt0023969,nm0129894,Ambassador Trentino
tt0023969,nm0106785,Zander
tt0023969,nm0455893,Sylvanian Agitator
tt0024034,nm0062828,Julian Marsh
tt0024034,nm0199841,Dorothy Brock
tt0024034,nm0107575,Pat Denning
tt0024034,nm0444528,Peggy Sawyer
tt0024034,nm0452128,Abner Dillon
tt0024034,nm0580916,Lorraine Fleming
tt0024034,nm0001677,Ann Lowell
tt0024034,nm0817021,Thomas Barry
tt0024034,nm0694090,Billy Lawler
tt0024034,nm0420765,Mac Elroy
tt0024184,nm0001647,Dr. Jack Griffin aka The Invisible Man
tt0024184,nm0001784,Flora Cranley
tt0024184,nm0364203,Dr. Arthur Kemp
tt0024184,nm0871287,Dr. Cranley
tt0024184,nm0640547,Jenny Hall
tt0024184,nm0367516,Herbert Hall
tt0024184,nm0378555,Chief of Police
tt0024184,nm0166974,Constable Jaffers
tt0024184,nm0226502,Chief Detective
tt0024184,nm0835913,Inspector Bird
tt0024216,nm0942039,Ann Darrow
tt0024216,nm0035877,Carl Denham
tt0024216,nm0127677,Jack Driscoll
tt0024216,nm0717046,Capt. Englehorn
tt0024216,nm0362742,Charles Weston
tt0024216,nm0425903,Native Chief
tt0024216,nm0166170,Witch King
tt0024216,nm0281329,Second Mate Briggs
tt0024216,nm0010017,Reporter
tt0024216,nm0011490,Native Child
tt0024844,nm0663077,Juliette
tt0024844,nm0202120,Jean
tt0024844,nm0546621,Le camelot (peddler)
tt0024844,nm0498882,Le gosse (cabin boy)
tt0024844,nm0318888,Le chef de bureau (office manager)
tt0024844,nm0226769,Le trimardeur (tramp
tt0024844,nm0226769,Raspoutine)
tt0024844,nm0800302,Le père Jules (old Jules)
tt0024844,nm0042872,\N
tt0024844,nm0088085,Best Man at Wedding
tt0024844,nm0094672,Passenger at Railway Station
tt0025316,nm0000022,Peter Warne
tt0025316,nm0001055,Ellie Andrews
tt0025316,nm0175369,Alexander Andrews
tt0025316,nm0439850,Oscar Shapeley
tt0025316,nm0858977,King Westley
tt0025316,nm0002118,Danker
tt0025316,nm0398446,Zeke
tt0025316,nm0002768,Zeke's Wife
tt0025316,nm0933161,Joe Gordon
tt0025316,nm0010958,The Bag Thief
tt0025452,nm0052203,Bob Lawrence
tt0025452,nm0078923,Jill Lawrence
tt0025452,nm0000048,Abbott
tt0025452,nm0903687,Ramon Levine
tt0025452,nm0906775,Clive
tt0025452,nm0683345,Betty Lawrence
tt0025452,nm0294382,Louis Bernard
tt0025452,nm0643084,Nurse Agnes
tt0025452,nm0165061,Binstead
tt0025452,nm0193633,Gibson
tt0025878,nm0001635,Nick Charles
tt0025878,nm0001485,Nora Charles
tt0025878,nm0001577,Dorothy Wynant
tt0025878,nm0671738,Lt. John Guild
tt0025878,nm0326809,Mimi Jorgenson
tt0025878,nm0356004,Herbert MacCaulay
tt0025878,nm0905622,Tommy
tt0025878,nm0378026,Gilbert Wynant
tt0025878,nm0399346,Nunheim
tt0025878,nm0003110,Chris Jorgenson
tt0026029,nm0232196,Hannay
tt0026029,nm0140914,Pamela
tt0026029,nm0543169,Miss Smith
tt0026029,nm0853607,Professor Jordan
tt0026029,nm0001919,Crofter's Wife
tt0026029,nm0491406,Crofter
tt0026029,nm0370848,Mrs. Jordan
tt0026029,nm0148144,The Sheriff
tt0026029,nm0914931,Memory
tt0026029,nm0573790,Commercial Traveller
tt0026138,nm0000472,The Monster
tt0026138,nm0006471,Mary Wollstonecraft Shelley
tt0026138,nm0006471,The Monster's Mate
tt0026138,nm0166972,Henry Frankenstein
tt0026138,nm0387753,Elizabeth
tt0026138,nm0857658,Doctor Pretorius
tt0026138,nm0330200,Lord Byron
tt0026138,nm0910498,Percy Bysshe Shelley
tt0026138,nm0640547,Minnie
tt0026138,nm0166974,Burgomaster
tt0026138,nm0698139,Butler
tt0026174,nm0001224,Peter Blood
tt0026174,nm0000014,Arabella Bishop
tt0026174,nm0041172,Colonel Bishop
tt0026174,nm0001651,Levasseur
tt0026174,nm0018717,Jeremy Pitt
tt0026174,nm0452128,Hagthorpe
tt0026174,nm0827261,Lord Willoughby
tt0026174,nm0056719,Wolverstone
tt0026174,nm0146928,Dr. Bronson
tt0026174,nm0576083,Dr. Whacker
