tconst,nconst
tt0059646,nm0000591
tt0059740,nm0368871
tt0059742,nm0936404
tt0059749,nm0728688
tt0059800,nm0950109
tt0059825,nm0001239
tt0059885,nm0733476
tt0060086,nm0318150
tt0060107,nm0001789
tt0060138,nm0000975
tt0060153,nm0554169
tt0060176,nm0000774
tt0060196,nm0001466
tt0060232,nm0671957
tt0060268,nm0000591
tt0060315,nm0179281
tt0060390,nm0000076
tt0060397,nm0281507
tt0060424,nm0000697
tt0060474,nm0653620
tt0060522,nm0943758
tt0060584,nm0301145
tt0060665,nm0003593
tt0060666,nm0912849
tt0060675,nm0000419
tt0060802,nm0579954
tt0060827,nm0000005
tt0060862,nm0112218
tt0060934,nm0936404
tt0060955,nm0001239
tt0061107,nm0000033
tt0061184,nm0001566
tt0061385,nm0757256
tt0061395,nm0000320
tt0061418,nm0671957
tt0061452,nm0346436
tt0061452,nm0400731
tt0061452,nm0001379
tt0061452,nm0569825
tt0061452,nm0663577
tt0061452,nm0848234
tt0061512,nm0742341
tt0061578,nm0000736
tt0061619,nm0001328
tt0061655,nm0000591
tt0061722,nm0001566
tt0061735,nm0006452
tt0061747,nm0692872
tt0061770,nm0728688
tt0061809,nm0112218
tt0061811,nm0422484
tt0061847,nm0462030
tt0061852,nm0718627
tt0061996,nm0000975
tt0062136,nm0004244
tt0062138,nm0000958
tt0062229,nm0578483
tt0062376,nm0165412
tt0062407,nm0002045
tt0062467,nm0950109
tt0062480,nm0000419
tt0062512,nm0318150
tt0062622,nm0000040
tt0062687,nm0331453
tt0062687,nm0879853
tt0062695,nm0000076
tt0062711,nm0671862
tt0062759,nm0301145
tt0062765,nm0946811
tt0062803,nm0400731
tt0062824,nm0796923
tt0062994,nm0943758
tt0063032,nm0179281
tt0063035,nm0446129
tt0063035,nm0000078
tt0063035,nm0503777
tt0063227,nm0367431
tt0063350,nm0001681
tt0063374,nm0757256
tt0063385,nm0715346
tt0063415,nm0001175
tt0063442,nm0769874
tt0063462,nm0000316
tt0063518,nm0001874
tt0063522,nm0000591
tt0063611,nm0000005
tt0063678,nm0001596
tt0063688,nm0422484
tt0063759,nm0000005
tt0063823,nm0242945
tt0063850,nm0000755
tt0064040,nm0578483
tt0064072,nm0357891
tt0064115,nm0001351
tt0064116,nm0001466
tt0064276,nm0000454
tt0064418,nm0000037
tt0064505,nm0172772
tt0064541,nm0516360
tt0064603,nm0829038
tt0064612,nm0006445
tt0064665,nm0772259
tt0064757,nm0402597
tt0064782,nm0517597
tt0064940,nm0000019
tt0065051,nm0447944
tt0065063,nm0000095
tt0065088,nm0001628
tt0065112,nm0000033
tt0065126,nm0368871
tt0065134,nm0796923
tt0065143,nm0000783
tt0065207,nm0404606
tt0065214,nm0001603
tt0065234,nm0002020
tt0065377,nm0780833
tt0065377,nm0368871
tt0065421,nm0718627
tt0065462,nm0692872
tt0065466,nm0000540
tt0065528,nm0001566
tt0065531,nm0578483
tt0065571,nm0000934
tt0065724,nm0706182
tt0065780,nm0563099
tt0065780,nm0563100
tt0065780,nm0959020
tt0065832,nm0782381
tt0065938,nm0404606
tt0065988,nm0671957
tt0066011,nm0002137
tt0066026,nm0000265
tt0066206,nm0769874
tt0066249,nm0000697
tt0066301,nm0001328
tt0066434,nm0000184
tt0066473,nm0281507
tt0066473,nm0297935
tt0066473,nm0557927
tt0066473,nm0000041
tt0066491,nm0000320
tt0066580,nm0905579
tt0066601,nm0000774
tt0066740,nm0297523
tt0066765,nm0534084
tt0066769,nm0936404
tt0066808,nm0000095
tt0066817,nm0829038
tt0066817,nm0453832
tt0066819,nm0796923
tt0066831,nm0792450
tt0066831,nm0000078
tt0066892,nm0001566
tt0066921,nm0000040
tt0066993,nm0001692
tt0066995,nm0357891
tt0066999,nm0796923
tt0066999,nm0000142
tt0067065,nm0852279
tt0067093,nm0422484
tt0067116,nm0001243
tt0067128,nm0388198
tt0067140,nm0001466
tt0067185,nm0000797
tt0067277,nm0874308
tt0067309,nm0001587
tt0067328,nm0000953
tt0067355,nm0005645
tt0067372,nm0000591
tt0067411,nm0000265
tt0067445,nm0899581
tt0067525,nm0755963
tt0067549,nm0770234
tt0067588,nm0000142
tt0067741,nm0662953
tt0067756,nm0874320
tt0067800,nm0001603
tt0067824,nm0516344
tt0067824,nm0156927
tt0067866,nm0423524
tt0067893,nm0375494
tt0067927,nm0764781
tt0067959,nm0001676
tt0067992,nm0835799
tt0068154,nm0005645
tt0068182,nm0001348
tt0068327,nm0002080
tt0068361,nm0000320
tt0068408,nm0496746
tt0068421,nm0041932
tt0068473,nm0000958
tt0068519,nm0785877
tt0068555,nm0000095
tt0068611,nm0000033
tt0068612,nm0000835
tt0068638,nm0001603
tt0068646,nm0000338
tt0068699,nm0000142
tt0068762,nm0001628
tt0068767,nm0516344
tt0068768,nm0836328
tt0068833,nm0000127
tt0068931,nm0935382
tt0068935,nm0000045
tt0069089,nm0000691
tt0069097,nm0006889
tt0069113,nm0623768
tt0069191,nm0000019
tt0069280,nm0001351
tt0069281,nm0000581
tt0069293,nm0001789
tt0069467,nm0000005
tt0069495,nm0000953
tt0069697,nm0284503
tt0069704,nm0000184
tt0069747,nm0653620
tt0069762,nm0000517
tt0069768,nm0496746
tt0069865,nm0796923
tt0069895,nm0001681
tt0069945,nm0000118
tt0069947,nm0003593
tt0069995,nm0001676
tt0070016,nm0629363
tt0070016,nm0847314
tt0070034,nm0167195
tt0070040,nm0258977
tt0070047,nm0001243
tt0070130,nm0274659
tt0070215,nm0884547
tt0070233,nm0301145
