tconst,titleType,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating,numVotes
tt0092603,movie,1987,Babette's Feast,Babettes gæstebud,103,Drama,7.8,17064
tt0063759,movie,1968,Hour of the Wolf,Vargtimmen,90,"Drama,Horror",7.7,17056
tt1332134,movie,2010,King of Devil's Island,Kongen av Bastøy,116,"Action,Drama",7.5,17053
tt0100318,movie,1990,Pacific Heights,Pacific Heights,102,Thriller,6.4,17053
tt1498569,movie,2011,Restless,Restless,91,"Drama,Romance",6.8,17052
tt0087365,movie,1984,Greystoke,"Greystoke: The Legend of Tarzan, Lord of the Apes",135,"Adventure,Drama",6.4,17050
tt3835080,movie,2016,31,31,102,"Horror,Thriller",5.1,17042
tt2793490,movie,2014,Starry Eyes,Starry Eyes,98,"Drama,Fantasy,Horror",6.0,17036
tt0042804,movie,1950,The Young and the Damned,Los olvidados,85,"Crime,Drama",8.3,17024
tt0155711,movie,1999,Flawless,Flawless,112,"Comedy,Crime,Drama",6.5,17017
tt2389182,movie,2013,Cheap Thrills,Cheap Thrills,88,"Comedy,Crime,Drama",6.7,17017
tt0456396,movie,2005,The Child,L'enfant,95,"Crime,Drama,Romance",7.5,17015
tt3901826,movie,2017,The Breadwinner,The Breadwinner,94,"Animation,Drama,Family",7.7,17013
tt0424227,movie,2004,Turtles Can Fly,Lakposhtha parvaz mikonand,98,"Drama,War",8.1,17002
tt0432637,movie,2006,Krrish,Krrish,185,"Action,Sci-Fi",6.3,17000
tt0142192,movie,1999,The Corruptor,The Corruptor,110,"Action,Crime,Drama",6.1,16996
tt2062700,movie,2017,Song to Song,Song to Song,129,"Drama,Music,Romance",5.7,16977
tt0075223,movie,1976,Silver Streak,Silver Streak,114,"Action,Comedy,Crime",6.9,16974
tt4669264,movie,2018,Beirut,Beirut,109,"Drama,Thriller",6.4,16974
tt0482629,movie,2006,The Ultimate Gift,The Ultimate Gift,114,"Drama,Family,Romance",7.3,16971
tt2617828,movie,2013,Free Fall,Freier Fall,97,Drama,7.6,16968
tt0346094,movie,2002,Uzak,Uzak,110,Drama,7.6,16960
tt0074899,movie,1976,Midway,Midway,132,"Action,Drama,History",6.8,16953
tt0361841,movie,2004,Little Black Book,Little Black Book,107,"Comedy,Drama,Romance",5.3,16949
tt1320082,movie,2009,The Concert,Le concert,119,"Comedy,Drama,Music",7.6,16943
tt0219822,movie,2001,Human Nature,Human Nature,96,"Comedy,Drama",6.4,16940
tt8760684,movie,2019,Apollo 11,Apollo 11,93,"Documentary,History",8.2,16932
tt2398241,movie,2017,Smurfs: The Lost Village,Smurfs: The Lost Village,90,"Adventure,Animation,Comedy",6.0,16917
tt0387412,movie,2004,Metallica: Some Kind of Monster,Metallica: Some Kind of Monster,141,"Documentary,Music",7.5,16915
tt2011159,movie,2014,No Good Deed,No Good Deed,84,"Action,Crime,Drama",5.6,16909
tt0920458,movie,2008,Flame & Citron,Flammen & Citronen,130,"Action,Drama,History",7.3,16908
tt7170950,movie,2018,Like Father,Like Father,98,"Comedy,Drama",6.1,16904
tt3449292,movie,2015,Manjhi: The Mountain Man,Manjhi: The Mountain Man,120,"Adventure,Biography,Drama",8.0,16904
tt0470055,movie,2006,Open Water 2: Adrift,Open Water 2: Adrift,94,"Adventure,Drama,Horror",5.1,16901
tt6348138,movie,2019,Missing Link,Missing Link,93,"Adventure,Animation,Comedy",6.7,16898
tt0358456,movie,2005,Earthlings,Earthlings,95,"Documentary,Horror",8.7,16895
tt0088194,movie,1984,Streets of Fire,Streets of Fire,93,"Action,Crime,Drama",6.7,16892
tt5716464,movie,2017,Breathe,Breathe,118,"Biography,Drama,Romance",7.1,16890
tt0208990,movie,2001,The Son's Room,La stanza del figlio,99,Drama,7.3,16886
tt4463816,movie,2018,Terminal,Terminal,95,"Crime,Drama,Thriller",5.4,16885
tt1816518,movie,2012,Ernest & Celestine,Ernest et Célestine,80,"Adventure,Animation,Comedy",7.9,16882
tt0397044,movie,2007,Blood and Chocolate,Blood and Chocolate,98,"Drama,Fantasy,Horror",5.5,16877
tt7392212,movie,2018,Rangasthalam 1985,Rangasthalam,170,"Action,Drama",8.4,16873
tt0044837,movie,1952,Limelight,Limelight,137,"Drama,Music,Romance",8.1,16872
tt2406252,movie,2013,Venus in Fur,La Vénus à la fourrure,96,Drama,7.2,16867
tt5859238,movie,2017,Lucky,Lucky,88,"Comedy,Drama,Western",7.3,16866
tt1183252,movie,2008,Chocolate,Chocolate,110,"Action,Drama",6.9,16862
tt1798243,movie,2014,Rudderless,Rudderless,105,"Comedy,Drama,Music",7.5,16855
tt3576728,movie,2015,Bilal: A New Breed of Hero,Bilal: A New Breed of Hero,105,"Action,Adventure,Animation",7.9,16836
tt2965412,movie,2014,Comet,Comet,91,"Comedy,Drama,Romance",6.8,16820
tt3733774,movie,2016,The Trust,The Trust,92,"Crime,Drama,Thriller",5.4,16820
tt0491203,movie,2017,Tulip Fever,Tulip Fever,105,"Drama,History,Romance",6.2,16819
tt0022286,movie,1931,The Public Enemy,The Public Enemy,83,"Crime,Drama",7.7,16804
tt0028597,movie,1937,The Awful Truth,The Awful Truth,90,"Comedy,Romance",7.7,16794
tt1839654,movie,2012,The Magic of Belle Isle,The Magic of Belle Isle,109,"Comedy,Drama",7.0,16777
tt1555064,movie,2010,Country Strong,Country Strong,117,"Drama,Music",6.3,16776
tt0108186,movie,1993,Son in Law,Son in Law,95,"Comedy,Drama,Romance",5.8,16769
tt0280778,movie,2001,Iris,Iris,91,"Biography,Drama,Romance",7.0,16755
tt0106400,movie,1993,The Beverly Hillbillies,The Beverly Hillbillies,92,"Comedy,Family",5.0,16755
tt2039345,movie,2013,Grand Piano,Grand Piano,90,"Drama,Music,Mystery",5.9,16743
tt0039302,movie,1947,Dark Passage,Dark Passage,106,"Film-Noir,Thriller",7.5,16736
tt0250081,movie,2001,Storytelling,Storytelling,87,"Comedy,Drama,Romance",6.8,16735
tt0090563,movie,1986,Betty Blue,37°2 le matin,120,"Drama,Romance",7.4,16733
tt0265651,movie,2002,Ripley's Game,Ripley's Game,110,"Crime,Drama,Mystery",6.6,16717
tt0227005,movie,2001,Made,Made,95,"Comedy,Crime,Drama",6.4,16716
tt0055471,movie,1961,Splendor in the Grass,Splendor in the Grass,124,"Drama,Romance",7.8,16713
tt5322012,movie,2017,Wish Upon,Wish Upon,90,"Drama,Fantasy,Horror",5.0,16713
tt3726704,movie,2015,Experimenter,Experimenter,98,"Biography,Drama,History",6.6,16709
tt1703957,movie,2016,Genius,Genius,104,"Biography,Drama",6.6,16696
tt1085492,movie,2014,The Prince,The Prince,93,"Action,Thriller",4.6,16691
tt1082853,movie,2008,Management,Management,94,"Comedy,Drama,Romance",5.8,16691
tt0236640,movie,2001,Prozac Nation,Prozac Nation,95,"Biography,Drama,Romance",6.3,16691
tt0134983,movie,2000,Supernova,Supernova,90,"Horror,Sci-Fi,Thriller",4.9,16690
